[2025-10-11 20:42:28.947] [info] [0] yolo: 30.1ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:28.996] [info] [1] yolo: 10.5ms, tracker: 2.1ms, aimer: 0.0ms
[2025-10-11 20:42:29.012] [info] [2] yolo: 12.0ms, tracker: 0.0ms, aimer: 0.0ms
[2025-10-11 20:42:29.057] [info] [3] yolo: 9.8ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:29.103] [info] [4] yolo: 10.0ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:29.152] [info] [5] yolo: 13.1ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:29.196] [info] [6] yolo: 8.7ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:29.240] [info] [7] yolo: 8.2ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:29.283] [info] [8] yolo: 8.0ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:29.327] [info] [9] yolo: 8.7ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:29.370] [info] [10] yolo: 8.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:29.418] [info] [11] yolo: 11.9ms, tracker: 0.5ms, aimer: 0.0ms
[2025-10-11 20:42:29.461] [info] [12] yolo: 8.1ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:29.506] [info] [13] yolo: 8.4ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:29.549] [info] [14] yolo: 8.0ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:29.593] [info] [15] yolo: 8.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:29.638] [info] [16] yolo: 9.2ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:29.683] [info] [17] yolo: 9.3ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:29.726] [info] [18] yolo: 8.5ms, tracker: 0.4ms, aimer: 0.0ms
[2025-10-11 20:42:29.773] [info] [19] yolo: 10.2ms, tracker: 0.6ms, aimer: 0.0ms
[2025-10-11 20:42:29.819] [info] [20] yolo: 10.1ms, tracker: 0.5ms, aimer: 0.0ms
