[2025-10-11 20:54:27.147] [info] 默认标定板尺寸为10列7行
[2025-10-11 20:54:27.147] [info] SocketCAN opened.
[2025-10-11 20:54:27.147] [info] [Cboard] Waiting for q...
[2025-10-11 20:54:27.152] [info] [Cboard] Opened.
[2025-10-11 20:54:27.847] [info] Mindvision opened.
[2025-10-11 20:54:50.005] [info] [1] Saved in assets/img_with_q
[2025-10-11 20:54:50.505] [info] [2] Saved in assets/img_with_q
[2025-10-11 20:54:50.537] [info] [3] Saved in assets/img_with_q
[2025-10-11 20:54:50.566] [info] [4] Saved in assets/img_with_q
[2025-10-11 20:54:50.601] [info] [5] Saved in assets/img_with_q
[2025-10-11 20:54:50.630] [info] [6] Saved in assets/img_with_q
[2025-10-11 20:54:50.660] [info] [7] Saved in assets/img_with_q
[2025-10-11 20:54:50.695] [info] [8] Saved in assets/img_with_q
[2025-10-11 20:54:50.726] [info] [9] Saved in assets/img_with_q
[2025-10-11 20:54:50.855] [info] [10] Saved in assets/img_with_q
[2025-10-11 20:54:51.216] [info] [11] Saved in assets/img_with_q
[2025-10-11 20:54:51.589] [info] [12] Saved in assets/img_with_q
[2025-10-11 20:54:54.101] [info] [13] Saved in assets/img_with_q
[2025-10-11 20:54:54.343] [info] [14] Saved in assets/img_with_q
[2025-10-11 20:54:54.596] [info] [15] Saved in assets/img_with_q
[2025-10-11 20:54:56.084] [info] [16] Saved in assets/img_with_q
[2025-10-11 20:54:56.319] [info] [17] Saved in assets/img_with_q
[2025-10-11 20:54:56.543] [info] [18] Saved in assets/img_with_q
[2025-10-11 20:54:56.809] [info] [19] Saved in assets/img_with_q
[2025-10-11 20:54:57.058] [info] [20] Saved in assets/img_with_q
[2025-10-11 20:54:57.284] [info] [21] Saved in assets/img_with_q
[2025-10-11 20:54:57.503] [info] [22] Saved in assets/img_with_q
[2025-10-11 20:54:57.729] [info] [23] Saved in assets/img_with_q
[2025-10-11 20:54:57.952] [info] [24] Saved in assets/img_with_q
[2025-10-11 20:54:58.219] [info] [25] Saved in assets/img_with_q
[2025-10-11 20:55:00.429] [info] [26] Saved in assets/img_with_q
[2025-10-11 20:55:00.932] [info] [27] Saved in assets/img_with_q
[2025-10-11 20:55:01.175] [info] [28] Saved in assets/img_with_q
[2025-10-11 20:55:01.850] [info] [29] Saved in assets/img_with_q
[2025-10-11 20:55:02.110] [info] [30] Saved in assets/img_with_q
[2025-10-11 20:55:03.525] [info] [31] Saved in assets/img_with_q
[2025-10-11 20:55:04.503] [info] [32] Saved in assets/img_with_q
[2025-10-11 20:55:04.844] [info] [33] Saved in assets/img_with_q
[2025-10-11 20:55:05.697] [info] [34] Saved in assets/img_with_q
[2025-10-11 20:55:06.043] [info] [35] Saved in assets/img_with_q
[2025-10-11 20:55:06.327] [info] [36] Saved in assets/img_with_q
[2025-10-11 20:55:06.553] [info] [37] Saved in assets/img_with_q
[2025-10-11 20:55:06.765] [info] [38] Saved in assets/img_with_q
[2025-10-11 20:55:07.066] [info] [39] Saved in assets/img_with_q
[2025-10-11 20:55:07.409] [info] [40] Saved in assets/img_with_q
[2025-10-11 20:55:10.364] [info] [41] Saved in assets/img_with_q
[2025-10-11 20:55:12.024] [info] [42] Saved in assets/img_with_q
[2025-10-11 20:55:12.220] [info] [43] Saved in assets/img_with_q
[2025-10-11 20:55:12.447] [info] [44] Saved in assets/img_with_q
[2025-10-11 20:55:12.648] [info] [45] Saved in assets/img_with_q
[2025-10-11 20:55:13.003] [info] [46] Saved in assets/img_with_q
[2025-10-11 20:55:14.138] [info] [47] Saved in assets/img_with_q
[2025-10-11 20:55:14.802] [info] [48] Saved in assets/img_with_q
[2025-10-11 20:55:15.342] [info] [49] Saved in assets/img_with_q
[2025-10-11 20:55:15.648] [info] [50] Saved in assets/img_with_q
[2025-10-11 20:55:15.971] [info] [51] Saved in assets/img_with_q
[2025-10-11 20:55:16.283] [info] [52] Saved in assets/img_with_q
[2025-10-11 20:55:16.611] [info] [53] Saved in assets/img_with_q
[2025-10-11 20:55:16.896] [info] [54] Saved in assets/img_with_q
[2025-10-11 20:55:17.172] [info] [55] Saved in assets/img_with_q
[2025-10-11 20:55:17.456] [info] [56] Saved in assets/img_with_q
[2025-10-11 20:55:20.358] [info] [57] Saved in assets/img_with_q
[2025-10-11 20:55:20.819] [info] [58] Saved in assets/img_with_q
[2025-10-11 20:55:21.208] [info] [59] Saved in assets/img_with_q
[2025-10-11 20:55:22.887] [info] [60] Saved in assets/img_with_q
[2025-10-11 20:55:23.164] [info] [61] Saved in assets/img_with_q
[2025-10-11 20:55:23.378] [info] [62] Saved in assets/img_with_q
[2025-10-11 20:55:23.637] [info] [63] Saved in assets/img_with_q
[2025-10-11 20:55:23.891] [info] [64] Saved in assets/img_with_q
[2025-10-11 20:55:24.157] [info] [65] Saved in assets/img_with_q
[2025-10-11 20:55:24.408] [info] [66] Saved in assets/img_with_q
[2025-10-11 20:55:24.705] [info] [67] Saved in assets/img_with_q
[2025-10-11 20:55:38.495] [info] Mindvision destructed.
[2025-10-11 20:55:38.498] [info] SocketCAN destructed.
[2025-10-11 20:55:38.498] [warning] 注意四元数输出顺序为wxyz
