[2025-10-11 21:03:46.638] [info] Mindvision opened.
[2025-10-11 21:03:46.638] [info] SocketCAN opened.
[2025-10-11 21:03:46.638] [info] [Cboard] Waiting for q...
[2025-10-11 21:03:46.645] [info] [Cboard] Opened.
[2025-10-11 21:04:17.689] [debug] [Target] r=0.128, l=-0.187
[2025-10-11 21:04:17.689] [debug] [Tracker] Target diverged!
[2025-10-11 21:04:44.724] [debug] [Target] r=0.049, l=0.000
[2025-10-11 21:04:44.724] [debug] [Tracker] Target diverged!
[2025-10-11 21:04:45.794] [debug] [Target] r=0.048, l=0.000
[2025-10-11 21:04:45.794] [debug] [Tracker] Target diverged!
[2025-10-11 21:05:44.853] [warning] SocketCAN::read() failed: Error reading from SocketCAN!
[2025-10-11 21:05:44.859] [warning] Unable to write!
[2025-10-11 21:05:44.943] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:45.044] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:45.144] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:45.244] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:45.344] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:45.444] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:45.545] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:45.645] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:45.745] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:45.845] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:45.945] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:46.046] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:46.146] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:46.246] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:46.346] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:46.446] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:46.547] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:46.647] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:46.747] [warning] SocketCAN::open() failed: Error getting interface index!
[2025-10-11 21:05:46.847] [warning] SocketCAN::open() failed: Error getting interface index!
